review_group,candidate_a_boat_id,candidate_a_name,candidate_a_sail_number,candidate_a_class,candidate_b_boat_id,candidate_b_name,candidate_b_sail_number,candidate_b_class,match_reason,confidence,decision,reviewer,notes
name:enchantress,143,Enchantress,586,C&C 25,155,Enchantress,584,C&C 25,same_normalized_name,high,,,
name:ibis,49,IBIS,2,IOD,93,IBIS,6,IOD,same_normalized_name,high,,,
name:jaeger,121,Jaeger,,D3/19,160,Jaeger,329,J/29,same_normalized_name,high,,,
name:jaeger,121,Jaeger,,D3/19,252,Jaeger,CAN329,J/29,same_normalized_name,high,,,
name:jaeger,121,Jaeger,,D3/19,336,Jaeger,40329,J/29,same_normalized_name,high,,,
name:jaeger,160,Jaeger,329,J/29,252,Jaeger,CAN329,J/29,same_normalized_name,high,,,
name:jaeger,160,Jaeger,329,J/29,336,Jaeger,40329,J/29,same_normalized_name,high,,,
name:jaeger,252,Jaeger,CAN329,J/29,336,Jaeger,40329,J/29,same_normalized_name,high,,,
name:satisfaction,182,Satisfaction,63,J/29,254,Satisfaction,CAN63,J/29,same_normalized_name,high,,,
name:buccaneer,199,Buccaneer,34289,Kirby 30,214,Buccaneer,XXXXXXX,Kirby 30,same_normalized_name,high,,,
name:buccaneer,199,Buccaneer,34289,Kirby 30,286,Buccaneer,1802,Shark,same_normalized_name,high,,,
name:buccaneer,214,Buccaneer,XXXXXXX,Kirby 30,286,Buccaneer,1802,Shark,same_normalized_name,high,,,
name:noname,305,No Name,40329,J/29,331,No Name,31297,S2 7.9 IB,same_normalized_name,high,,,
name:sonar,351,Sonar,489,Sonar,354,Sonar,366,Sonar,same_normalized_name,high,,,
name:annapolisa,246,Annapolisa,34266,Nautilus-36,360,Annapolisa,BLACKSPIN,Nautilus-36,same_normalized_name,high,,,
name:annapolisa,246,Annapolisa,34266,Nautilus-36,366,Annapolisa,????,Nautilus-36,same_normalized_name,high,,,
name:annapolisa,246,Annapolisa,34266,Nautilus-36,367,Annapolisa,34266??,Nautilus-36,same_normalized_name,high,,,
name:annapolisa,360,Annapolisa,BLACKSPIN,Nautilus-36,366,Annapolisa,????,Nautilus-36,same_normalized_name,high,,,
name:annapolisa,360,Annapolisa,BLACKSPIN,Nautilus-36,367,Annapolisa,34266??,Nautilus-36,same_normalized_name,high,,,
name:annapolisa,366,Annapolisa,????,Nautilus-36,367,Annapolisa,34266??,Nautilus-36,same_normalized_name,high,,,
name:isleview,19,Isleview,25771,J/24,210,Isleview,21557,J/24,same_normalized_name,high,,,
name:isleview,19,Isleview,25771,J/24,216,Isleview,,J/24,same_normalized_name,high,,,
name:isleview,19,Isleview,25771,J/24,225,Isleview,4447,J/24,same_normalized_name,high,,,
name:isleview,210,Isleview,21557,J/24,216,Isleview,,J/24,same_normalized_name,high,,,
name:isleview,210,Isleview,21557,J/24,225,Isleview,4447,J/24,same_normalized_name,high,,,
name:isleview,216,Isleview,,J/24,225,Isleview,4447,J/24,same_normalized_name,high,,,
name:awsome,298,Awsome,203,Kirby 25,313,Awsome,293,Kirby 25,same_normalized_name,high,,,
name:chaos,183,Chaos,84675,J/29,363,CHAOS,34675,J/29 O/B,same_normalized_name,medium,,,
name:kc15,364,KC-15,KC-15,Etchells,370,KC15,KC15,Etchells 22,same_normalized_name,medium,,,
name:westwind,200,Westwind,WW2,Westwind,221,Westwind,WWII,Westwind II,same_normalized_name,high,,,
name:westwind,200,Westwind,WW2,Westwind,241,Westwind,,,same_normalized_name,high,,,
name:westwind,221,Westwind,WWII,Westwind II,241,Westwind,,,same_normalized_name,high,,,
name:zephyr,147,Zephyr,2,IOD,195,Zephyr,CAN2,IOD,same_normalized_name,high,,,
name:crest,134,Crest,AUS1384,Etchells,137,Crest,1170,Etchels 22,same_normalized_name,high,,,
name:goslingnabs,217,Gosling (NABS),XXXXXX,J/29 O/B,218,Gosling (NABS),9999,J/29 O/B,same_normalized_name,high,,,
sail:34429,161,Scotch Mist IV,34429,J/29,189,Scotch Mist,34429,J29Fr ODR,same_cleaned_sail_number,medium,,,
sail:203,278,Awesome,203,Kirby 25,298,Awsome,203,Kirby 25,same_cleaned_sail_number,medium,,,
sail:366,8,Greg B.,366,Sonar,41,SOT After,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,8,Greg B.,366,Sonar,70,So-Gnarly,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,8,Greg B.,366,Sonar,75,So Narley,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,8,Greg B.,366,Sonar,173,Sea Fever,366,,same_cleaned_sail_number,medium,,,
sail:366,8,Greg B.,366,Sonar,179,Awsome 2,366,,same_cleaned_sail_number,medium,,,
sail:366,8,Greg B.,366,Sonar,192,Awesome 2.0,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,8,Greg B.,366,Sonar,354,Sonar,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,41,SOT After,366,Sonar,70,So-Gnarly,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,41,SOT After,366,Sonar,75,So Narley,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,41,SOT After,366,Sonar,173,Sea Fever,366,,same_cleaned_sail_number,medium,,,
sail:366,41,SOT After,366,Sonar,179,Awsome 2,366,,same_cleaned_sail_number,medium,,,
sail:366,41,SOT After,366,Sonar,192,Awesome 2.0,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,41,SOT After,366,Sonar,354,Sonar,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,70,So-Gnarly,366,Sonar,75,So Narley,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,70,So-Gnarly,366,Sonar,173,Sea Fever,366,,same_cleaned_sail_number,medium,,,
sail:366,70,So-Gnarly,366,Sonar,179,Awsome 2,366,,same_cleaned_sail_number,medium,,,
sail:366,70,So-Gnarly,366,Sonar,192,Awesome 2.0,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,70,So-Gnarly,366,Sonar,354,Sonar,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,75,So Narley,366,Sonar,173,Sea Fever,366,,same_cleaned_sail_number,medium,,,
sail:366,75,So Narley,366,Sonar,179,Awsome 2,366,,same_cleaned_sail_number,medium,,,
sail:366,75,So Narley,366,Sonar,192,Awesome 2.0,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,75,So Narley,366,Sonar,354,Sonar,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,173,Sea Fever,366,,179,Awsome 2,366,,same_cleaned_sail_number,medium,,,
sail:366,173,Sea Fever,366,,192,Awesome 2.0,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,173,Sea Fever,366,,354,Sonar,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,179,Awsome 2,366,,192,Awesome 2.0,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,179,Awsome 2,366,,354,Sonar,366,Sonar,same_cleaned_sail_number,medium,,,
sail:366,192,Awesome 2.0,366,Sonar,354,Sonar,366,Sonar,same_cleaned_sail_number,medium,,,
sail:117,11,Paradigm Shift,117,J/29 O/B,211,Paridigm Shift,117,J/29 O/B,same_cleaned_sail_number,medium,,,
sail:117,11,Paradigm Shift,117,J/29 O/B,236,P Shift,117,J/29,same_cleaned_sail_number,medium,,,
sail:117,11,Paradigm Shift,117,J/29 O/B,267,WAI WHARE,117,S2 7.9,same_cleaned_sail_number,medium,,,
sail:117,211,Paridigm Shift,117,J/29 O/B,236,P Shift,117,J/29,same_cleaned_sail_number,medium,,,
sail:117,211,Paridigm Shift,117,J/29 O/B,267,WAI WHARE,117,S2 7.9,same_cleaned_sail_number,medium,,,
sail:117,236,P Shift,117,J/29,267,WAI WHARE,117,S2 7.9,same_cleaned_sail_number,medium,,,
sail:20320,18,Armada,20320,C&C 30,338,BlackHull,20320,C&C 30 MkII??,same_cleaned_sail_number,medium,,,
sail:355,16,Hearts 3,355,Sonar,296,Hearts,355,Sonar,same_cleaned_sail_number,medium,,,
sail:415,15,Ping,415,Sonar,31,Pi,415,Sonar,same_cleaned_sail_number,medium,,,
sail:31587,17,Winter Project,31587,J/29 I/B,172,Bad Blue J,31587,J/29,same_cleaned_sail_number,medium,,,
sail:31587,17,Winter Project,31587,J/29 I/B,197,Minimum Payment,31587,J/29 I/B,same_cleaned_sail_number,medium,,,
sail:31587,172,Bad Blue J,31587,J/29,197,Minimum Payment,31587,J/29 I/B,same_cleaned_sail_number,medium,,,
sail:272,297,Andrea 4,272,J/30,306,Andrea,272,J/30,same_cleaned_sail_number,medium,,,
sail:31297,330,Bad Cat Paws,31297,S2 7.9 IB,331,No Name,31297,S2 7.9 IB,same_cleaned_sail_number,medium,,,
sail:829,74,Barbarian,829,Sonar,271,Ooka Chugga,829,Sonar,same_cleaned_sail_number,medium,,,
sail:624,25,Jenkins,624,Sonar,29,Martha Jane,624,Sonar,same_cleaned_sail_number,medium,,,
sail:624,25,Jenkins,624,Sonar,35,Fighting Haddock,624,Sonar,same_cleaned_sail_number,medium,,,
sail:624,29,Martha Jane,624,Sonar,35,Fighting Haddock,624,Sonar,same_cleaned_sail_number,medium,,,
sail:CAN506,316,Andrea 5 of Sunnybrook,CAN506,J/105,321,Andrea 5,CAN506,J/105,same_cleaned_sail_number,medium,,,
sail:84675,27,J2.2,84675,J/29,183,Chaos,84675,J/29,same_cleaned_sail_number,medium,,,
sail:84675,27,J2.2,84675,J/29,232,Silver Woman,84675,J/29,same_cleaned_sail_number,medium,,,
sail:84675,183,Chaos,84675,J/29,232,Silver Woman,84675,J/29,same_cleaned_sail_number,medium,,,
sail:1802,78,Ananda,1802,Shark,286,Buccaneer,1802,Shark,same_cleaned_sail_number,medium,,,
sail:160,82,Hakuna Matata,160,J/29 O/B,327,J160,160,J/29,same_cleaned_sail_number,medium,,,
sail:136,272,Shenanagans,136,Sonar,275,Shenaigans,136,Sonar,same_cleaned_sail_number,medium,,,
sail:136,272,Shenanagans,136,Sonar,276,Shenanigans,136,Sonar,same_cleaned_sail_number,medium,,,
sail:136,275,Shenaigans,136,Sonar,276,Shenanigans,136,Sonar,same_cleaned_sail_number,medium,,,
sail:835,30,Tingley,835,Sonar,66,SOT After,835,Sonar,same_cleaned_sail_number,medium,,,
sail:835,30,Tingley,835,Sonar,73,G. Bailly,835,Sonar,same_cleaned_sail_number,medium,,,
sail:835,66,SOT After,835,Sonar,73,G. Bailly,835,Sonar,same_cleaned_sail_number,medium,,,
sail:652,56,652,652,Sonar,69,Stella,652,Sonar,same_cleaned_sail_number,medium,,,
sail:42634,20,Gosling,42634,J/29 O/B,188,Grocho,42634,J/29,same_cleaned_sail_number,medium,,,
sail:42634,20,Gosling,42634,J/29 O/B,208,Groucho,42634,J/29 O/B,same_cleaned_sail_number,medium,,,
sail:42634,188,Grocho,42634,J/29,208,Groucho,42634,J/29 O/B,same_cleaned_sail_number,medium,,,
sail:40329,305,No Name,40329,J/29,307,329,40329,J/29,same_cleaned_sail_number,medium,,,
sail:40329,305,No Name,40329,J/29,336,Jaeger,40329,J/29,same_cleaned_sail_number,medium,,,
sail:40329,307,329,40329,J/29,336,Jaeger,40329,J/29,same_cleaned_sail_number,medium,,,
sail:214,171,C'est La Vie,214,J/29,255,Joy Ride,214,J/29,same_cleaned_sail_number,medium,,,
sail:264,184,Maestro,264,J/29,259,Maestral,264,J/29,same_cleaned_sail_number,medium,,,
sail:WWII,221,Westwind,WWII,Westwind II,227,Westwind II,WWII,Westwind II Custom,same_cleaned_sail_number,medium,,,
sail:USA107,201,Thin Ice,USA107,Viper,222,Viper,USA107,Viper,same_cleaned_sail_number,medium,,,
sail:4648,226,Shirley Faye,4648,CS30,287,Andrea 3,4648,CS30,same_cleaned_sail_number,medium,,,
sail:25771,19,Isleview,25771,J/24,209,Isleville,25771,J/24,same_cleaned_sail_number,medium,,,
sail:25771,19,Isleview,25771,J/24,229,"Isleview ""LTS""",25771,J/24,same_cleaned_sail_number,medium,,,
sail:25771,209,Isleville,25771,J/24,229,"Isleview ""LTS""",25771,J/24,same_cleaned_sail_number,medium,,,
sail:834,40,Bella Rona,834,Sonar,76,Barbarian,834,Sonar,same_cleaned_sail_number,medium,,,
sail:489,32,Five Alive,489,Sonar,268,489,489,Sonar,same_cleaned_sail_number,medium,,,
sail:489,32,Five Alive,489,Sonar,351,Sonar,489,Sonar,same_cleaned_sail_number,medium,,,
sail:489,268,489,489,Sonar,351,Sonar,489,Sonar,same_cleaned_sail_number,medium,,,
sail:229,34,J(2),229,J/35,142,Falcon,229,J/35,same_cleaned_sail_number,medium,,,
sail:293,308,Awesome,293,Kirby 25,313,Awsome,293,Kirby 25,same_cleaned_sail_number,medium,,,
sail:329,160,Jaeger,329,J/29,265,JAEGAR,329,J/29 O/B,same_cleaned_sail_number,medium,,,
