review_group,match_reason,boat_id,raw_name,raw_sail_number,raw_class,total_results,first_year,last_year,suggested_canonical_boat_name,suggested_canonical_sail_number,confidence,decision,notes
sail:214,same_cleaned_sail_number,175,C'est La Vie,214,J/29,0,,,Joy Ride,214,medium,,
sail:214,same_cleaned_sail_number,221,Joy Ride,214,J/29,11,2012,2012,Joy Ride,214,medium,,
sail:40329,same_cleaned_sail_number,254,329,40329,J/29,9,2001,2002,329,40329,medium,,
sail:40329,same_cleaned_sail_number,253,No Name,40329,J/29,2,2000,2000,329,40329,medium,,
sail:4648,same_cleaned_sail_number,238,Andrea 3,4648,CS30,7,1999,1999,Andrea 3,4648,medium,,
sail:4648,same_cleaned_sail_number,207,Shirley Faye,4648,CS30,3,2008,2012,Andrea 3,4648,medium,,
sail:169,same_cleaned_sail_number,239,Eileen,169,Seafarer,4,1999,1999,Eileen,169,medium,,
sail:169,same_cleaned_sail_number,157,Sail 169,169,Martin 16,0,,,Eileen,169,medium,,
sail:229,same_cleaned_sail_number,139,Falcon,229,J/35,1,2022,2022,J(2),229,medium,,
sail:229,same_cleaned_sail_number,53,J(2),229,J/35,4,2015,2015,J(2),229,medium,,
sail:121,same_cleaned_sail_number,151,Sail 121,121,Martin 16,0,,,Sophia,121,medium,,
sail:121,same_cleaned_sail_number,206,Sophia,121,J/80,4,2010,2011,Sophia,121,medium,,
