year,event,course,distance_nm,race_date,wind_kts,wind_band,boat,sail,boat_class,phrf_rating,elapsed,elapsed_s,phrf_corrected,phrf_corrected_s,phrf_rank_overall,phrf_rank_in_covered,cert_ref,cert_class,orc_tot_used,orc_corrected,orc_corrected_s,orc_rank
2021,LYC Handicap - Leeward Island,Leeward Island,14.2,25/07/21,9.6,medium,Rumble Fish,31991,J/29 I/B,135,2:29:21,8961,2:37:16,9436,3,3,,,,,,
2021,LYC Handicap - Leeward Island,Leeward Island,14.2,25/07/21,9.6,medium,Shenanagans,425,Sonar,171,2:38:21,9501,2:38:07,9487,4,3,043900036AB,Sonar,0.9069,2:23:36,8616.5,2
2021,LYC Handicap - RG Smith,RG Smith (Tancook),22.2,05/09/21,5.4,low,Second Chance,71114,C&C 29-2,183,5:12:46,18766,5:07:01,18421,1,1,CAN00000067,C&C 29-2,0.8422,4:23:25,15804.7,3
2021,LYC Handicap - RG Smith,RG Smith (Tancook),22.2,05/09/21,5.4,low,Mojo,606,J/105,87,4:31:35,16295,5:08:25,18505,2,2,03420002E4P,J-105,0.8465,3:49:54,13793.7,1
2021,LYC Handicap - RG Smith,RG Smith (Tancook),22.2,05/09/21,5.4,low,Odyssey,151165,Swan 57,42,4:33:02,16382,5:34:40,20080,3,3,03860003TQ2,SWAN 57,0.9363,4:15:38,15338.5,2
2022,LYC Handicap - Bolands Trophy,Boland's Cup,16.7,24/07/22,8.4,low,Mojo,606,J/105,87,2:35:50,9350,2:56:58,10618,1,1,03420002E4P,J-105,0.8465,2:11:55,7914.8,1
2022,LYC Handicap - Bolands Trophy,Boland's Cup,16.7,24/07/22,8.4,low,Poohsticks,8,J/92,96,2:44:30,9870,3:04:06,11046,2,2,03360002EWV,J 92,0.8479,2:19:29,8368.8,2
2022,LYC Handicap - Bolands Trophy,Boland's Cup,16.7,24/07/22,8.4,low,Second Chance,71114,C&C 29-2,183,3:25:14,12314,3:21:28,12088,3,3,CAN00000067,C&C 29-2,0.8422,2:52:51,10370.9,3
2022,LYC Handicap - Bolands Trophy,Boland's Cup,16.7,24/07/22,8.4,low,Hot Mess,2,Olson 29,111,3:09:43,11383,3:27:19,12439,4,4,,,,,,
2022,LYC Handicap - Leeward Islands Pursuit Race,Leeward Island,14.2,21/08/22,5.9,low,Paradigm Shift,117,J/29 O/B,114,2:43:19,9799,,,1,1,03880001H3B,J 29 𝕚,0.8109,2:12:26,7946.0,2
2022,LYC Handicap - Leeward Islands Pursuit Race,Leeward Island,14.2,21/08/22,5.9,low,Shenanagans,425,Sonar,171,3:00:18,10818,,,2,2,043900036AB,Sonar,0.6994,2:06:06,7566.1,1
2022,LYC Handicap - Leeward Islands Pursuit Race,Leeward Island,14.2,21/08/22,5.9,low,Mojo,606,J/105,87,2:40:36,9636,,,3,3,03420002E4P,J-105,0.8465,2:15:57,8156.9,3
2022,LYC Handicap - Leeward Islands Pursuit Race,Leeward Island,14.2,21/08/22,5.9,low,Second Chance,71114,C&C 29-2,183,3:17:26,11846,,,4,4,CAN00000067,C&C 29-2,0.8422,2:46:17,9976.7,5
2022,LYC Handicap - Leeward Islands Pursuit Race,Leeward Island,14.2,21/08/22,5.9,low,Enchantress,582?,C&C 25,225,3:27:51,12471,,,5,5,NL00015566,C&C 25,0.784,2:42:57,9777.3,4
2022,LYC Handicap - RG Smith Tancook Race,RG Smith (Tancook),22.2,04/09/22,6.1,low,Mojo,606,J/105,87,4:56:31,17791,5:36:44,20204,1,1,03420002E4P,J-105,0.8465,4:11:00,15060.1,1
2022,LYC Handicap - RG Smith Tancook Race,RG Smith (Tancook),22.2,04/09/22,6.1,low,Second Chance,71114,C&C 29-2,183,5:47:43,20863,5:41:20,20480,2,2,CAN00000067,C&C 29-2,0.8422,4:52:51,17570.8,2
2022,LYC Handicap - RG Smith Tancook Race,RG Smith (Tancook),22.2,04/09/22,6.1,low,Falcon,229,J/35,72,4:57:52,17872,5:46:46,20806,3,3,,,,,,
2025,LYC Handicap - Bolands,Boland's Cup,16.7,20/07/25,10.2,medium,Mojo,606,J/105,87,2:44:55,9895,3:07:17,11237,1,1,03420002E4P,J-105,1.0998,3:01:23,10882.5,2
2025,LYC Handicap - Bolands,Boland's Cup,16.7,20/07/25,10.2,medium,Echo,571,Sonar,171,3:13:07,11587,3:12:50,11570,2,2,043900036AB,Sonar,0.9069,2:55:08,10508.3,1
2025,LYC Handicap - Leeward Island Race,Leeward Island,14.2,,,medium,Mojo,606,J/105,87,2:04:28,7468,2:21:21,8481,1,1,03420002E4P,J-105,1.0998,2:16:53,8213.3,2
2025,LYC Handicap - Leeward Island Race,Leeward Island,14.2,,,medium,Poohsticks,8,J/92,96,2:07:27,7647,2:22:38,8558,2,2,03360002EWV,J 92,1.056,2:14:35,8075.2,1
2025,LYC Handicap - RG Smith (Tancook Race),RG Smith (Tancook),22.2,30/08/25,8.7,low,Mojo,606,J/105,87,4:22:41,15761,4:58:19,17899,1,1,03420002E4P,J-105,0.8465,3:42:22,13341.7,1
2025,LYC Handicap - RG Smith (Tancook Race),RG Smith (Tancook),22.2,30/08/25,8.7,low,Wandrian,1001,Frers Cat/Ketch,126,4:43:14,16994,5:02:23,18143,2,2,,,,,,
2025,LYC Handicap - RG Smith (Tancook Race),RG Smith (Tancook),22.2,30/08/25,8.7,low,Second Chance,71114,C&C 29-2,189,5:52:00,21120,5:42:38,20558,3,2,CAN00000067,C&C 29-2,0.8422,4:56:27,17787.3,2
