path,year,original_classification,mirror_classification,original_checksum,mirror_checksum
racing1999/paceship3.htm,1999,legacy-result,legacy-result,92bffa1bc5b1979cb08920b89e77e1be7382ffd1fc3d1e8d31ee6317f55a301b,6a5f9fcf16109d8b4e1aaa8909a1626fe4321ade9d2a60a45c90193f2294abba
racing1999/paceship4.htm,1999,legacy-result,legacy-result,ec19a1694aab3259a7aaefa85fda72f8a5422c64e605ccf358c1683e5d641d7d,e587961f72b9d7bc6fc3e885b3886631895c4d298e3beb344eec71650849a9e1
racing1999/photos.htm,1999,gallery,gallery,9eef8acb1094901c24891c5ab19a17b02eb4f74caaa3c086b95b27c2925c157c,720a25a94f18063a56286d920ee78a4d9b2e7be516c5d6a655598bcbda4187d4
racing1999/racing.htm,1999,legacy-index,legacy-index,e64817fe46ea4572b7970ad8cce3f50d018db9bd938f0608a0695261be60979d,22d400a451170aa1628b814eec9ac4110142f27a86efb1900c2987eb986a2926
racing1999/sable.htm,1999,legacy-result,legacy-result,643d3e5376ebd42d8a4c6c472d3d982253d039ce9fa22133532bdd6e9d31fdf2,9fdb86e8cde4bce1390688285367a47688a4ae588e8572c1d109b49199450bae
racing1999/scotiatrawler.htm,1999,legacy-result,legacy-result,915ad6c440247834799e782f2c1619fbd14face736368ad63978f3a20d024e7e,1cc6ddbfabef2ba493b680d4dea370d418ce8107674e07778f8f1edce49545d1
racing1999/scotiatrawler1.htm,1999,legacy-result,legacy-result,505977325492dfe24e3f12c412d835d6cf3cd5d9cfa1039cfc26f45b6834781f,04f5cedea205c3e58a90f30dfb8a8af453bb939e8ff8d53ee3b8d5e82ce2b49d
racing1999/scotiatrawler2.htm,1999,legacy-result,legacy-result,acbc06596c2c25853f54f87b7087f199d82501a1c5ca59d880eca88a4c5f9327,eb86ad16a797495a45008bfd6092be926e16aa51026f857d07899d559370b456
racing1999/scotiatrawler3.htm,1999,legacy-result,legacy-result,602b3c080fe30fa591494405d752550fa1b2562df888bf14bb227cb1e9860367,f0c81150fc2dae3467c3f3ba1b77d0fb338a1226d829302b8e4da5c2acde442d
racing1999/scotiatrawler4.htm,1999,legacy-result,legacy-result,f09efffcc71a1dbeadea731381efe1832dff41231577115aff49c89b0b04ab7b,d85221800f9849a6d68889c0c0b268f5d1aeb2cd986a8dcb591af9bbca482142
racing1999/tancook.htm,1999,legacy-result,legacy-result,959be66e4bf51367a0e063261d5388620c7a04c733427b8dfc0d921eddccbed7,bed3ae8ecf60259b4149ca0402890293a41186d3c283f25fca34c4ab29b5f997
racing1999/thrash.htm,1999,legacy-result,legacy-result,70baf96e9fe7263f4714581f99b6003d9dcbbba558d71824102f4a58db01950e,b5b4e7ce889922415fd798c2fcc3c7f8f4ae17835df79b25d1e4422276ce27e9
racing2000/2000race_instructions.htm,2000,legacy-result,legacy-result,f83a5cb3ef31be54690ed1a805e775c596dece6856185ae37f5446859687cc0d,82d5c6d63f78e82bc7482621ebbb59dfbb1145c39864813e8481717c170d684e
racing2000/LYC_2000_Handicap_System.htm,2000,legacy-result,legacy-result,263037d5d623a9a20b0eb2aaf03567a39561634aff36aa0f8331df4b2245270d,b2d249d418ce483de1e4c523206c48a59841c11972e3767f5c8bac0454ca8cb1
racing2000/bolands.htm,2000,legacy-result,legacy-result,7c03344e53101df304297b127fd87a72bffc6c25e4563827555b787bcb4a1082,027a27655f9d08d40512f70265dba9ab21087b10e4cfdabae933482ff847d1ca
racing2000/cap_morgan.htm,2000,legacy-result,legacy-result,34214b055890e0abd0a736cd4d79520d00e35b08d6040f2c987fec59c4288aa6,3bc9c1830f2819eb52eee63e6e57f5cd0cf23aca90f0f0362e9a3143e51bb0d1
racing2000/charter.htm,2000,legacy-result,legacy-result,315fd21ae4923c5bfb3eb0a406384e4349807bca21ae1b54e8730ab0a75429a5,8459eb61d73a4335bb7cd8a2f03cb3fdb7038680a3cea9bb4479abb7114343de
racing2000/commodores_cup.htm,2000,legacy-result,legacy-result,b183b12284af4495d9ef7608c08d81c19a4ea18a0883da2717baea4f1c715dc6,15c8541d8c37cca44703e457c39ad55c54730d746824bc94b7f794460ee4dd3d
racing2000/craft_festival1.htm,2000,legacy-result,legacy-result,c8c86dd739f4ef3670ccfd46ebf8c284eb3ceb7fcd0e90f74bc6fbc5907f1ac6,f8bfe7b1dcdceb0073a0caf3996acbf467ee5790405f52d063ca59cbcfc30031
racing2000/craft_festival2.htm,2000,legacy-result,legacy-result,20246f8c2a214b26cec5d9ee8e6a5070be32afd03e1bb8bb8bbc9f2ecaa59ef0,01946be05d5db4e1c447fd0774f72a503e9a0b1644cc20fa6ee12bd2bc9715cb
racing2000/crown_diamond.htm,2000,legacy-result,legacy-result,d6992d2fdc11f57c62ef90156bb680fedd0267214af9f6ad1d9ac44792f6d09c,cf166e79d11555d49c89d9abc0005d9a2ad2ede4470716aee4100485daa0caef
racing2000/fall1.htm,2000,legacy-result,legacy-result,05ced1c6ef6ddedae7d9b920ee94d18d5240e1b3cb8b8d718d85e1f02713353a,91d2282a772dfcd77f4b252aec9954af39c2b84887e196c308492bcc3a96789a
racing2000/fall2.htm,2000,legacy-result,legacy-result,ef43c57526200dc831fd4bfffc7799e7fdfd6f62a4f5222680790d16f0bb9881,1652f76af6bef832f9c8aeffb2648a735be6036a6179da28eb416f573ca65776
racing2000/fall3.htm,2000,legacy-result,legacy-result,e6201e8a9eda07a7b599979548d92031a41e8b77e364077c3f304fee446e6a06,dff58769dd80632088d62b6126e71080f46ec349110a398304fb46c36794e94c
racing2000/fisheries.htm,2000,legacy-result,legacy-result,fe1ac5522744e98ae6d83ea221eec0ac2038958c852c9d34fad45f74d6d86878,06606a51cb0ab3336d5b442648e1849b7bc2685edf2c00aae2fa866260fa206d
racing2000/glube.htm,2000,legacy-result,legacy-result,90f56871aa1393deab3d6c1b67b3ce3df5c4aff070e603a69e4f6ea9f3302bc0,33e543dcc0dd651a218a450a55781a23c2e3036ab2a56a9c15e87bfe8b6408df
racing2000/glube2.htm,2000,legacy-result,legacy-result,f65a1b20ce3754454eae4549105b55e6d8f1e1dd07e12e00aee16a5439983ec2,f6811b96b38d9f09db3e803b1dcecae869cea739fa5e27d73a5899050ba3af7e
racing2000/glube3.htm,2000,legacy-result,legacy-result,171aec6d63c1e1ec5dc209de041df3ce3701b56ff881097e0dfa20ed7e708880,60aa002c12e61e4763c1ff5fe9f0fdf9edc9150590aefc206dd9516902cddb94
racing2000/glube4.htm,2000,legacy-result,legacy-result,93697f9978da54d01d4b589d8299eec404b544b3e658eabbab328bbbfb988c6a,5e25630fe1f7cedda125cd86077df0eb70ad0c950a7908fa41ec6ef6cccac4e8
racing2000/glube_series.htm,2000,legacy-result,legacy-result,2353eb8da710d3b64b355b22f8f9e0e7e43cf3f4aa161298ef33dd1a896ab0e5,9b85237ea410c9b638fa246ffa75ebb62c2199cc680a964968b5d4abc4c3115c
racing2000/highliner.htm,2000,legacy-result,legacy-result,cef9005a8fffa40337daa6d75c52a7e7ca7981ce098b5d890c67fb5028a9ef05,bd48bbdd6c3c02bd4ba37ba39385947fbf5311db472f27a8f6ac46c9676fb54b
racing2000/images/awards1/index1.htm,2000,gallery,gallery,74f14ce5a7e129ca616c59ce7bada8bd99e9a95ce0d1d331c2d6a6f11c7bf5a4,830f3c6ce17f7f2f4798a054e9b01f9853a93a627380f6718c92e305f14a84a1
racing2000/images/awards2/index1.htm,2000,gallery,gallery,50ad209b8bfb353003ad80093c3e3df70aa143767912712c4ca507fdcb8b73e7,8754369b6419cbea10757d85566860a0304c69a73c0f7451b7db8616aac66c10
racing2000/jf_stevens.htm,2000,legacy-result,legacy-result,d8a44cc4653bbecbd9a4dcd0c3118e52b5a7a46bb3dab566c8fe644e5db4e5cf,54756b7f78c0b26b1b0edb822d52f75b1fbdcfe7780b81b022f596b704007034
racing2000/ladies_helm.htm,2000,legacy-result,legacy-result,01ab37b49c9f3bde19928bb2bbde1001bd8bfe2700593626c41dfffb0e3a7b10,6e949f32d1d0482365b92c843f24a5671994eaff12154d41a5a6fa59e45ff989
racing2000/leeward.htm,2000,legacy-result,legacy-result,9414f84efe20233a5fddd3ad4f943e75b12963e043d015b0c57751697f96403c,c20fb8c90f4984ed13000477f8ca0b459e710bdf90f4cf0ac5f340b8e83fb30c
racing2000/macdonald.htm,2000,legacy-result,legacy-result,a575dca2056434aec33cc7c3b31bb3c50662832a5fb32f9c5399c593ebb2542c,caec37a3fd0d2f602dc0eab3f7e6fa1e89d3ae978bf047bdb2cc5a8739f2864c
racing2000/mahone_bay.htm,2000,legacy-result,legacy-result,cbc8ecb22c92b05be00efd20d40afc11d0ac0cd2435be783cb0c042799b80c8b,c9a66b288e442e7de7c27f9d4e2fa01376e166d4f39729e0ee167f3efc5481ac
racing2000/martin_fielding.htm,2000,legacy-result,legacy-result,b44c7d9dd3082c0bf484066555f43e49cddb3a168c8c8de5dd4390c5ece02473,f9eff3cbda4127fe4b1b8681c191c8a394d62bb72457f089cc333c0234db85ed
racing2000/ocean.htm,2000,legacy-result,legacy-result,f431842ddc8154d83c5d51c689ad62d3d5de1a6dff163d03ab183873714db00a,d9750e6335c5e0b60c7150b7f0d2245d3d2104a7fa9f5f4a9bf35e8d3ec6ea89
racing2000/paceship1.htm,2000,legacy-result,legacy-result,02a029381d93dbd76206dbcd4a8394fa6bc78b8e0dfeec6147bd4a34718cee25,545bc6101b24e72143955517539bbbf17a0e568496aee56acce8f0a80bf77119
racing2000/paceship2.htm,2000,legacy-result,legacy-result,1778c19f89a77075140f15ba26b1c310816b1f39c30734c7d8d71ed822b75dd0,abfaad5b5c21d9dbcbc4676c719c7e0f07060ac3d6c983bcecfb94609cd93707
